"OTU","Bin"
"OTU1289",31
"OTU2619",31
"OTU2846",31
"OTU930",31
"OTU997",31
"OTU1061",31
"OTU816",31
"OTU1057",31
"OTU630",31
"OTU1045",31
"OTU2769",31
"OTU1210",31
"OTU2906",31
"OTU826",31
"OTU3092",31
"OTU2057",31
"OTU1220",31
"OTU1989",31
"OTU596",31
"OTU659",31
"OTU651",31
"OTU757",31
"OTU1553",32
"OTU1718",32
"OTU2011",32
"OTU3024",32
"OTU1622",32
"OTU1754",32
"OTU934",32
"OTU1787",32
"OTU1842",32
"OTU2812",32
"OTU1462",32
"OTU2059",32
"OTU2760",32
"OTU2521",32
"OTU731",32
"OTU3247",32
"OTU3208",32
"OTU1533",32
"OTU2612",32
"OTU1609",32
"OTU1687",32
"OTU2983",32
"OTU1900",32
"OTU1233",32
"OTU1963",32
"OTU2805",32
"OTU1574",32
"OTU2071",32
"OTU1603",32
"OTU1946",32
"OTU1654",32
"OTU1586",32
"OTU2058",32
"OTU1048",32
"OTU1737",32
"OTU1971",32
"OTU1487",32
"OTU538",32
"OTU3232",32
"OTU3331",32
"OTU3240",32
"OTU2767",32
"OTU2742",32
"OTU1530",32
"OTU2369",32
"OTU871",32
"OTU748",32
"OTU2458",32
"OTU1152",32
"OTU1991",32
"OTU2116",32
"OTU2315",32
"OTU657",32
"OTU1513",32
"OTU3206",32
"OTU766",32
"OTU3244",32
"OTU3294",32
"OTU3235",32
"OTU1819",32
"OTU3310",32
"OTU2493",33
"OTU777",33
"OTU1143",33
"OTU2025",33
"OTU1675",33
"OTU2343",33
"OTU3126",33
"OTU1677",33
"OTU1882",33
"OTU1748",33
"OTU3275",33
"OTU2938",33
"OTU1908",33
"OTU3199",33
"OTU2806",33
"OTU1158",33
"OTU1752",33
"OTU648",33
"OTU1886",33
"OTU2926",33
"OTU1705",33
"OTU2034",33
"OTU3328",33
"OTU1655",33
"OTU3281",33
"OTU3073",33
"OTU3178",33
"OTU5",33
"OTU3313",33
"OTU3196",33
"OTU3273",33
"OTU3319",33
"OTU1818",33
"OTU1682",33
"OTU2596",33
"OTU1822",33
"OTU1636",33
"OTU2531",34
"OTU2789",34
"OTU1820",34
"OTU3179",34
"OTU2969",34
"OTU3271",34
"OTU3204",34
"OTU1569",34
"OTU3252",34
"OTU1424",34
"OTU2408",34
"OTU3183",34
"OTU3210",34
"OTU1859",34
"OTU859",34
"OTU745",34
"OTU2550",34
"OTU470",34
"OTU2490",34
"OTU2191",34
"OTU522",34
"OTU500",34
"OTU23",34
"OTU1338",34
"OTU3136",34
"OTU2486",34
"OTU234",34
"OTU3142",34
"OTU1184",34
"OTU1774",34
"OTU2730",34
"OTU1778",34
"OTU2677",34
"OTU3228",34
"OTU641",34
"OTU1494",34
"OTU908",34
"OTU49",34
"OTU2304",34
"OTU1251",34
"OTU1286",34
"OTU763",34
"OTU1232",34
"OTU1729",34
"OTU2285",34
"OTU663",34
"OTU1270",34
"OTU3138",34
"OTU461",34
"OTU695",34
"OTU2489",35
